speed,acceleration,temperature,humidity,roadGrade
9.69144548,1.6656669,50.79,0.95,0.0
14.2507057,1.2664611722222223,50.79,0.95,0.0
18.2338222,1.1064212499999997,50.79,0.95,0.0
21.30927094,0.8542913166666679,50.79,0.95,0.0054099360340541
25.01879964,1.0304246388888876,50.79,0.95,0.0104326223733628
27.95262646,0.8149518944444445,50.79,0.95,0.0113371683124447
29.56196646,0.4470388888888887,50.79,0.95,-0.0136080698702745
30.21053048,0.1801566722222212,50.79,0.95,-0.0124405409398483
30.38272986,0.0478331611111144,50.79,0.95,-0.0212605862261374
29.816242180000003,-0.1573576888888901,50.79,0.95,-0.0195975318275514
29.01479086,-0.2226253666666675,50.79,0.95,-0.0139872277803535
28.37105486,-0.1788155555555555,50.79,0.95,-0.0299118600036717
28.4370378,0.0183285944444451,50.79,0.95,-0.0079438206096302
29.05502436,0.171662933333331,50.79,0.95,-0.0255746634225241
29.08560182,0.008493738888891,50.79,0.95,-0.0051186317860665
28.17632472,-0.2525769722222222,50.79,0.95,-0.0681698179060338
28.21816756,0.0116230111111104,50.79,0.95,-0.0290206077475325
30.73356598,0.698721783333335,50.79,0.95,-0.0056804328357568
30.46802488,-0.0737614166666684,50.79,0.95,-0.084337588992421
29.83555426,-0.1756862833333325,50.79,0.95,-0.1038684599909369
29.30447206,-0.1475228333333333,50.79,0.95,-0.143347121333101
28.78948326,-0.1430524444444456,50.79,0.95,-0.1458694462105168
28.13609122,-0.1814977888888869,50.79,0.95,-0.1865826827744881
26.79712034,-0.3719363555555572,50.79,0.95,-0.1037829182672592
26.2966156,-0.1390290944444441,50.79,0.95,-0.1840881011587853
25.79611086,-0.1390290944444441,50.79,0.95,-0.1373037141565978
23.81662266,-0.5498578333333333,50.79,0.95,-0.1106840545428803
19.88983306,-1.0907748888888884,50.79,0.95,-0.0723087658286211
18.02299866,-0.518565111111112,50.79,0.95,-0.0485391483055409
19.12861524,0.3071157166666669,50.79,0.95,0.0128514880039736
21.0904007,0.5449404055555549,50.79,0.95,-0.0158329253304332
23.04253012,0.5422581722222226,50.79,0.95,-0.0012975754697063
24.8240695,0.4948720500000005,50.79,0.95,-0.0048984196506739
26.66354512,0.5109654500000005,50.79,0.95,-0.0005144063109303
27.74663094,0.3008571722222211,50.79,0.95,-0.0030471349114885
28.09746706,0.0974544777777781,50.79,0.95,-0.001491200317079
27.42154426,-0.1877563333333327,50.79,0.95,0.0123226320865335
26.19844586,-0.3397495555555556,50.79,0.95,-0.0042741962576741
23.12460646,-0.8538442777777782,50.79,0.95,-0.0087599348859106
20.30826146,-0.7823180555555549,50.79,0.95,-0.0031134104811365
18.18393266,-0.5900913333333344,50.79,0.95,-0.0008207381597589
12.03142584,-1.7090296722222216,50.79,0.95,0.0007513800047297
7.159953659999999,-1.3531867166666671,50.79,0.95,-0.0085310529767776
6.99580098,-0.0455979666666663,50.79,0.95,0.0003063318480821
9.06219354,0.5739979333333336,50.79,0.95,0.0
11.9413028,0.7997525722222218,50.79,0.95,-0.0116463900733109
13.63271914,0.4698378722222225,50.79,0.95,0.0
13.257742919999998,-0.1041600611111115,50.79,0.95,-0.0138600711641685
12.2068439,-0.2919163944444443,50.79,0.95,-0.0127445608494543
11.4102206,-0.2212842499999996,50.79,0.95,-0.0119007033273282
8.85619802,-0.7094507166666664,50.79,0.95,-0.0308470391172507
5.05010892,-1.0572469722222229,50.79,0.95,-0.0159234762540801
3.0979795,-0.5422581722222222,50.79,0.95,0.0
3.0979795,0.0,50.79,0.95,0.0
3.0979795,0.0,50.79,0.95,0.0
3.0979795,0.0,50.79,0.95,0.0
0.0,-0.8605498611111111,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
0.0,0.0,50.79,0.95,0.0
