timeuseastern,speed,acceleration,temperature,humidity,roadGrade,FuelRate
2020-04-23 10:00:01.000,0.0,0.0,55.94,86.0,0.0,0.621
2020-04-23 10:00:02.000,0.0,0.0,55.94,86.0,0.0,0.832
2020-04-23 10:00:03.000,0.0,0.0,55.94,86.0,0.0,0.845
2020-04-23 10:00:04.000,0.0,0.0,55.94,86.0,0.0,0.608
2020-04-23 10:00:05.000,0.0,0.0,55.94,86.0,0.0,0.845
2020-04-23 10:00:06.000,0.0,0.0,55.94,86.0,0.0,0.621
2020-04-23 10:00:07.000,0.0,0.0,55.94,86.0,0.0,0.832
2020-04-23 10:00:08.000,0.0,0.0,55.94,86.0,0.0,0.621
2020-04-23 10:00:09.000,0.0,0.0,55.94,86.0,0.0,0.845
2020-04-23 10:00:10.000,0.0,0.0,55.94,86.0,0.0,0.845
2020-04-23 10:00:11.000,0.0,0.0,55.94,86.0,0.0,0.634
2020-04-23 10:00:12.000,0.0,0.0,55.94,86.0,0.0,0.845
2020-04-23 10:00:13.000,0.0,0.0,55.94,86.0,0.0,0.621
2020-04-23 10:00:14.000,0.0,0.0,55.94,86.0,0.0,0.845
2020-04-23 10:00:15.000,0.0,0.0,55.94,86.0,0.0,0.859
2020-04-23 10:00:16.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:17.000,0.0,0.0,55.94,86.0,0.0,0.726
2020-04-23 10:00:18.000,0.0,0.0,55.94,86.0,0.0,0.555
2020-04-23 10:00:19.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:20.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:21.000,0.0,0.0,55.94,86.0,0.0,0.555
2020-04-23 10:00:22.000,0.0,0.0,55.94,86.0,0.0,0.74
2020-04-23 10:00:23.000,0.0,0.0,55.94,86.0,0.0,0.555
2020-04-23 10:00:24.000,0.0,0.0,55.94,86.0,0.0,0.74
2020-04-23 10:00:25.000,0.0,0.0,55.94,86.0,0.0,0.555
2020-04-23 10:00:26.000,0.0,0.0,55.94,86.0,0.0,0.726
2020-04-23 10:00:27.000,0.0,0.0,55.94,86.0,0.0,0.713
2020-04-23 10:00:28.000,0.0,0.0,55.94,86.0,0.0,0.528
2020-04-23 10:00:29.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:30.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:31.000,0.0,0.0,55.94,86.0,0.0,0.528
2020-04-23 10:00:32.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:33.000,0.0,0.0,55.94,86.0,0.0,0.528
2020-04-23 10:00:34.000,0.0,0.0,55.94,86.0,0.0,0.713
2020-04-23 10:00:35.000,0.0,0.0,55.94,86.0,0.0,0.726
2020-04-23 10:00:36.000,0.0,0.0,55.94,86.0,0.0,0.753
2020-04-23 10:00:37.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:38.000,0.0,0.0,55.94,86.0,0.0,0.542
2020-04-23 10:00:39.000,0.0,0.0,55.94,86.0,0.0,0.726
2020-04-23 10:00:40.000,0.0,0.0,55.94,86.0,0.0,0.713
2020-04-23 10:00:41.000,0.06276426,0.0174345166666666,55.94,86.0,0.0,0.687
2020-04-23 10:00:42.000,0.0,-0.0174345166666666,55.94,86.0,0.0,0.991
2020-04-23 10:00:43.000,0.0,0.0,55.94,86.0,0.0,0.951
2020-04-23 10:00:44.000,0.0,0.0,55.94,86.0,0.0,1.294
2020-04-23 10:00:45.000,0.0,0.0,55.94,86.0,0.0,0.991
2020-04-23 10:00:46.000,0.0,0.0,55.94,86.0,0.0,1.294
2020-04-23 10:00:47.000,0.0,0.0,55.94,86.0,0.0,0.951
2020-04-23 10:00:48.000,0.0,0.0,55.94,86.0,0.0,1.281
2020-04-23 10:00:49.000,0.0,0.0,55.94,86.0,0.0,1.294
2020-04-23 10:00:50.000,0.0,0.0,55.94,86.0,0.0,1.255
2020-04-23 10:00:51.000,0.0,0.0,55.94,86.0,0.0,1.268
2020-04-23 10:00:52.000,0.0,0.0,55.94,86.0,0.0,1.294
2020-04-23 10:00:53.000,0.0,0.0,55.94,86.0,0.0,1.096
2020-04-23 10:00:54.000,0.0,0.0,55.94,86.0,0.0,1.004
2020-04-23 10:00:55.000,0.0,0.0,55.94,86.0,0.0,0.964
2020-04-23 10:00:56.000,0.0,0.0,55.94,86.0,0.0,1.03
2020-04-23 10:00:57.000,0.0,0.0,55.94,86.0,0.0,1.017
2020-04-23 10:00:58.000,0.0,0.0,55.94,86.0,0.0,0.766
2020-04-23 10:00:59.000,0.0,0.0,55.94,86.0,0.0,0.766
2020-04-23 10:01:00.000,0.0,0.0,55.94,86.0,0.0,0.793
2020-04-23 10:01:01.000,0.0,0.0,55.94,86.0,0.0,1.017
2020-04-23 10:01:02.000,0.0,0.0,55.94,86.0,0.0,0.779
2020-04-23 10:01:03.000,0.0,0.0,55.94,86.0,0.0,1.03
2020-04-23 10:01:04.000,0.0,0.0,55.94,86.0,0.0,1.004
2020-04-23 10:01:05.000,0.0,0.0,55.94,86.0,0.0,1.017
