speed,acceleration,temperature,humidity,roadGrade
31.000716420000003,-0.911,63.69,0.99,-0.0059436084989518
32.00011656,0.127,63.69,0.99,0.0028387301731905
32.9995167,0.486,63.69,0.99,0.1
32.9995167,0.562,63.69,0.99,0.0022676263219664
34.99992632,0.839,63.69,0.99,0.0003795432331583
34.99992632,0.615,63.69,0.99,0.0019728541662647
34.99992632,0.052,63.69,0.99,0.0053039721872332
32.9995167,-0.832,63.69,0.99,0.0054743400373045
29.0003068,-2.481,63.69,0.99,0.0040401124869698
24.99948756,-3.073,63.69,0.99,0.0092015151348441
19.99926818,-3.505,63.69,0.99,0.1
13.99964866,-4.269,63.69,0.99,0.1
8.99942928,-4.816,63.69,0.99,0.0223911241680989
5.00021938,-3.782,63.69,0.99,0.1
2.00040962,-2.824,63.69,0.99,0.1
0.99940014,-1.506,63.69,0.99,0.1
0.0,-0.868,63.69,0.99,-0.1
0.0,-0.556,63.69,0.99,-0.0958333333333333
0.0,-0.556,63.69,0.99,-0.0916666666666666
0.0,-0.556,63.69,0.99,-0.0875
0.0,-0.556,63.69,0.99,-0.0833333333333333
0.0,-0.556,63.69,0.99,-0.0791666666666666
0.0,-0.556,63.69,0.99,-0.075
0.0,-0.04,63.69,0.99,-0.0708333333333333
0.0,-0.04,63.69,0.99,-0.0666666666666666
0.0,0.0,63.69,0.99,-0.0625
0.0,0.0,63.69,0.99,-0.0583333333333333
0.0,0.0,63.69,0.99,-0.0541666666666666
0.0,0.0,63.69,0.99,-0.05
0.0,0.0,63.69,0.99,-0.0458333333333333
0.0,0.0,63.69,0.99,-0.0416666666666666
0.0,0.0,63.69,0.99,-0.0375
0.0,0.0,63.69,0.99,-0.0333333333333333
0.0,0.0,63.69,0.99,-0.0291666666666666
0.0,0.0,63.69,0.99,-0.025
0.0,0.0,63.69,0.99,-0.0208333333333333
0.0,0.0,63.69,0.99,-0.0166666666666666
0.0,0.0,63.69,0.99,-0.0125
0.0,0.0,63.69,0.99,-0.0083333333333333
3.9992099,0.356,63.69,0.99,-0.0041666666666666
11.99923904,5.33,63.69,0.99,0.0
18.0004679,5.517,63.69,0.99,0.0
21.00027766,3.774,63.69,0.99,-0.0137714468726184
24.00008742,2.178,63.69,0.99,0.1
24.99948756,1.41,63.69,0.99,-0.004873236028143
24.99948756,0.435,63.69,0.99,0.0020749647848083
23.00068728,-0.757,63.69,0.99,0.1
21.00027766,-1.466,63.69,0.99,0.0055158998808749
21.00027766,-0.889,63.69,0.99,-0.0076929752791944
21.9996778,-0.07,63.69,0.99,0.1
24.99948756,1.672,63.69,0.99,0.0352851353173716
29.0003068,3.243,63.69,0.99,-0.005207641417396
32.00011656,3.199,63.69,0.99,0.0037010281771431
35.99932646,2.689,63.69,0.99,0.0101417034607531
37.99973608,2.466,63.69,0.99,0.1
40.99954584,1.716,63.69,0.99,0.0095425260600676
42.00055532,1.704,63.69,0.99,0.0075080202011071
43.9993556,1.531,63.69,0.99,0.0230538798467445
45.99976522,1.67,63.69,0.99,-0.1
48.00017484,1.363,63.69,0.99,-0.0109624416030359
48.99957498,1.181,63.69,0.99,-0.0120058965150785
50.00058446,0.905,63.69,0.99,-0.0003339466689037
50.999984600000005,0.703,63.69,0.99,-0.014883103939839
50.999984600000005,0.307,63.69,0.99,-0.0199019370403095
48.00017484,-1.424,63.69,0.99,0.0071843488196816
42.99995546,-3.503,63.69,0.99,0.0095983979026933
37.99973608,-4.07,63.69,0.99,-0.1
32.00011656,-4.232,63.69,0.99,-0.0026587292485799
24.99948756,-5.298,63.69,0.99,-0.0209610250659146
19.99926818,-4.699,63.69,0.99,0.0167962330288047
13.99964866,-4.496,63.69,0.99,-0.0283636319052446
10.9998389,-3.306,63.69,0.99,-0.1
8.00002914,-2.836,63.69,0.99,0.1
3.9992099,-3.05,63.69,0.99,0.1
2.00040962,-2.327,63.69,0.99,-0.1
0.99940014,-1.021,63.69,0.99,0.1
0.99940014,-0.533,63.69,0.99,0.0005047732333345
0.0,-0.218,63.69,0.99,0.0170873110277787
0.0,-0.155,63.69,0.99,0.033669848822223
0.0,-0.111,63.69,0.99,0.0502523866166672
0.0,-0.09,63.69,0.99,0.0668349244111115
0.0,-0.066,63.69,0.99,0.0834174622055557
0.0,-0.167,63.69,0.99,0.1
0.0,-0.115,63.69,0.99,0.0944444444444444
0.0,-0.082,63.69,0.99,0.0888888888888888
0.0,-0.082,63.69,0.99,0.0833333333333333
0.0,-0.082,63.69,0.99,0.0777777777777777
0.0,-0.082,63.69,0.99,0.0722222222222222
0.0,-0.082,63.69,0.99,0.0666666666666666
0.0,-0.018,63.69,0.99,0.0611111111111111
0.0,-0.018,63.69,0.99,0.0555555555555555
0.0,-0.018,63.69,0.99,0.05
0.0,-0.018,63.69,0.99,0.0444444444444444
0.0,-0.018,63.69,0.99,0.0388888888888888
0.0,0.0,63.69,0.99,0.0333333333333333
0.0,0.0,63.69,0.99,0.0277777777777777
0.0,0.0,63.69,0.99,0.0222222222222222
0.0,0.0,63.69,0.99,0.0166666666666666
2.99980976,0.383,63.69,0.99,0.0111111111111111
10.00043876,4.358,63.69,0.99,0.0055555555555555
16.99945842,5.347,63.69,0.99,0.0
21.00027766,4.779,63.69,0.99,0.0
23.00068728,2.622,63.69,0.99,-0.1
23.00068728,0.758,63.69,0.99,-0.0144688816470851
18.0004679,-2.303,63.69,0.99,0.0020906529351504
10.9998389,-5.021,63.69,0.99,0.0214124035453667
5.99961952,-4.841,63.69,0.99,0.1
0.99940014,-4.006,63.69,0.99,-0.1
0.0,-2.356,63.69,0.99,0.1
0.0,-2.356,63.69,0.99,0.0928571428571428
0.0,-2.356,63.69,0.99,0.0857142857142857
0.0,-2.356,63.69,0.99,0.0785714285714285
0.0,-2.356,63.69,0.99,0.0714285714285714
0.0,-0.135,63.69,0.99,0.0642857142857142
0.0,-0.135,63.69,0.99,0.0571428571428571
0.0,-0.135,63.69,0.99,0.05
0.0,-0.135,63.69,0.99,0.0428571428571428
0.0,-0.135,63.69,0.99,0.0357142857142857
0.0,0.0,63.69,0.99,0.0285714285714285
0.0,0.108,63.69,0.99,0.0214285714285714
2.00040962,1.169,63.69,0.99,0.0142857142857142
5.99961952,2.457,63.69,0.99,0.0071428571428571
10.00043876,3.068,63.69,0.99,0.0
15.00065814,3.915,63.69,0.99,-0.0153512714998634
19.99926818,4.093,63.69,0.99,0.1
24.99948756,4.057,63.69,0.99,0.0058241583443538
29.0003068,3.342,63.69,0.99,-0.0205955185911817
32.00011656,2.924,63.69,0.99,0.1
34.99992632,2.527,63.69,0.99,0.0144809917909875
37.99973608,2.575,63.69,0.99,0.0042019481802962
40.0001457,2.001,63.69,0.99,-0.0090493125185014
42.99995546,1.833,63.69,0.99,0.0169503622673958
45.00036508,1.702,63.69,0.99,-0.1
45.99976522,1.602,63.69,0.99,0.0101216666483285
46.99916536,1.014,63.69,0.99,0.0148709020483374
46.99916536,0.64,63.69,0.99,0.0122853841848633
46.99916536,0.156,63.69,0.99,0.0194746137533567
46.99916536,-0.335,63.69,0.99,0.0472367563164367
46.99916536,-0.119,63.69,0.99,0.0245450801644263
46.99916536,0.039,63.69,0.99,0.1
46.99916536,-0.193,63.69,0.99,0.0244071344920979
46.99916536,-0.077,63.69,0.99,0.0128209832653743
45.99976522,-0.111,63.69,0.99,0.0178687156068811
45.99976522,-0.017,63.69,0.99,-0.0016356964718347
42.99995546,-1.165,63.69,0.99,0.0055409458832723
38.99913622,-3.194,63.69,0.99,-0.1
32.9995167,-4.175,63.69,0.99,0.0112295989379429
26.00049704,-5.449,63.69,0.99,-0.0055968177275381
19.99926818,-5.173,63.69,0.99,-0.009540048988087
15.00065814,-4.513,63.69,0.99,-0.0107158348496787
8.99942928,-4.265,63.69,0.99,-0.1
3.9992099,-4.566,63.69,0.99,-0.0018996427788848
0.99940014,-3.33,63.69,0.99,0.1
0.0,-1.984,63.69,0.99,-0.1
0.0,-1.984,63.69,0.99,-0.0916666666666666
0.0,-1.984,63.69,0.99,-0.0833333333333333
0.0,-1.984,63.69,0.99,-0.075
0.0,-0.115,63.69,0.99,-0.0666666666666666
0.0,-0.115,63.69,0.99,-0.0583333333333333
0.0,-0.115,63.69,0.99,-0.05
0.0,-0.115,63.69,0.99,-0.0416666666666666
0.0,-0.115,63.69,0.99,-0.0333333333333333
0.0,0.0,63.69,0.99,-0.025
0.99940014,0.349,63.69,0.99,-0.0166666666666666
5.99961952,2.425,63.69,0.99,-0.0083333333333333
13.00024852,4.967,63.69,0.99,0.0
19.99926818,5.571,63.69,0.99,0.0228862642701558
24.00008742,4.958,63.69,0.99,0.0457725285403116
29.99970694,3.958,63.69,0.99,-0.0124266693240611
32.9995167,3.83,63.69,0.99,-0.0117974917604384
37.00033594,2.813,63.69,0.99,0.0122667602459375
40.0001457,2.517,63.69,0.99,-0.1
42.00055532,2.112,63.69,0.99,0.0004559656437115
43.9993556,1.902,63.69,0.99,0.004531399414971
45.00036508,1.39,63.69,0.99,0.1
46.99916536,1.224,63.69,0.99,0.0002080744629563
48.00017484,0.837,63.69,0.99,-0.0071734313243064
48.00017484,0.404,63.69,0.99,0.0099477575025369
48.00017484,0.324,63.69,0.99,0.0075369194375421
48.00017484,-0.047,63.69,0.99,-0.0080416926627543
45.99976522,-1.02,63.69,0.99,0.0037273585890719
43.9993556,-1.328,63.69,0.99,-0.0106310637592273
40.0001457,-2.305,63.69,0.99,-0.1
34.99992632,-3.783,63.69,0.99,-0.0100846756327111
26.99989718,-5.178,63.69,0.99,-0.0208594649258309
18.99986804,-6.631,63.69,0.99,-0.0198229458170878
10.9998389,-6.301,63.69,0.99,-0.0416148925191822
3.9992099,-6.138,63.69,0.99,-0.1
0.99940014,-4.179,63.69,0.99,-0.1
0.0,-2.205,63.69,0.99,-0.1
0.0,-2.205,63.69,0.99,-0.0958333333333333
0.0,-2.205,63.69,0.99,-0.0916666666666666
0.0,-2.205,63.69,0.99,-0.0875
0.0,-2.205,63.69,0.99,-0.0833333333333333
0.0,-0.096,63.69,0.99,-0.0791666666666666
0.0,-0.096,63.69,0.99,-0.075
0.0,-0.096,63.69,0.99,-0.0708333333333333
0.0,-0.096,63.69,0.99,-0.0666666666666666
0.0,0.0,63.69,0.99,-0.0625
0.0,0.0,63.69,0.99,-0.0583333333333333
0.0,0.0,63.69,0.99,-0.0541666666666666
0.0,0.0,63.69,0.99,-0.05
0.0,0.0,63.69,0.99,-0.0458333333333333
0.0,0.0,63.69,0.99,-0.0416666666666666
0.0,0.0,63.69,0.99,-0.0375
0.0,0.0,63.69,0.99,-0.0333333333333333
0.0,0.0,63.69,0.99,-0.0291666666666666
0.0,0.0,63.69,0.99,-0.025
0.0,0.0,63.69,0.99,-0.0208333333333333
0.0,0.0,63.69,0.99,-0.0166666666666666
0.0,0.0,63.69,0.99,-0.0125
0.0,0.149,63.69,0.99,-0.0083333333333333
5.00021938,2.147,63.69,0.99,-0.0041666666666666
11.99923904,4.604,63.69,0.99,0.0
18.99986804,5.882,63.69,0.99,0.0
24.99948756,5.32,63.69,0.99,-0.1
29.99970694,4.644,63.69,0.99,-0.0168655911743222
34.00052618,3.643,63.69,0.99,0.0019150557043624
37.99973608,3.541,63.69,0.99,0.0022599198631199
42.00055532,2.909,63.69,0.99,-0.0127715334650087
43.9993556,2.237,63.69,0.99,-0.1
46.99916536,1.932,63.69,0.99,-0.0185632145687414
48.00017484,1.764,63.69,0.99,-0.0131690584471932
50.00058446,1.232,63.69,0.99,-0.011907767566949
50.00058446,1.109,63.69,0.99,-0.0118011615149528
50.00058446,0.316,63.69,0.99,-0.0090188719952329
48.99957498,-0.494,63.69,0.99,-0.004352866388134
46.99916536,-1.437,63.69,0.99,0.0001637623087231
45.00036508,-1.951,63.69,0.99,0.1
42.00055532,-1.989,63.69,0.99,-0.0015224114865062
37.00033594,-3.01,63.69,0.99,0.0004790850288503
32.00011656,-4.249,63.69,0.99,-0.0019895515005073
24.99948756,-5.141,63.69,0.99,0.1
18.0004679,-5.334,63.69,0.99,0.0018132203181636
10.9998389,-5.932,63.69,0.99,0.1
5.00021938,-5.193,63.69,0.99,0.0064098494327366
0.0,-4.522,63.69,0.99,-0.1
0.0,-2.085,63.69,0.99,0.1
0.0,-2.085,63.69,0.99,0.0966666666666666
0.0,-2.085,63.69,0.99,0.0933333333333333
0.0,-2.085,63.69,0.99,0.09
0.0,-2.085,63.69,0.99,0.0866666666666666
0.0,-2.085,63.69,0.99,0.0833333333333333
0.0,-0.038,63.69,0.99,0.08
0.0,-0.038,63.69,0.99,0.0766666666666666
0.0,-0.038,63.69,0.99,0.0733333333333333
0.0,-0.038,63.69,0.99,0.07
0.0,-0.038,63.69,0.99,0.0666666666666666
0.0,-0.038,63.69,0.99,0.0633333333333333
0.0,0.0,63.69,0.99,0.06
0.0,0.0,63.69,0.99,0.0566666666666666
0.0,0.0,63.69,0.99,0.0533333333333333
0.0,0.0,63.69,0.99,0.05
0.0,0.0,63.69,0.99,0.0466666666666666
0.0,0.0,63.69,0.99,0.0433333333333333
0.0,0.0,63.69,0.99,0.04
0.0,0.0,63.69,0.99,0.0366666666666666
0.0,0.0,63.69,0.99,0.0333333333333333
0.0,0.0,63.69,0.99,0.03
0.0,0.0,63.69,0.99,0.0266666666666666
0.0,0.0,63.69,0.99,0.0233333333333333
0.0,0.0,63.69,0.99,0.02
0.0,0.0,63.69,0.99,0.0166666666666666
0.0,0.0,63.69,0.99,0.0133333333333333
0.0,0.0,63.69,0.99,0.0099999999999999
0.99940014,0.58,63.69,0.99,0.0066666666666666
